image_link,group_id,entity_name,entity_value,output,model_input
https://m.media-amazon.com/images/I/61I9XdN6OFL.jpg,748919,item_weight,500.0 gram,"PROPOS
NATURE
INGREDIENT MENAGER
MULTI-USAGE
TERREDE
SOMMIERES
100%NATUREL
Argile 100% pure et naturelle, la terre de
Sommieres presente des proprietes absorbantes
qui permettent le nettoyage a sec des taches
recalcitrantes sur toutes les surfaces (moquette,
tapis, parquet...). Elle est aussi efficace pour
desodoriser le linge.
IngredientBentonite
Dosage conseillSelon usage
100%
500g
LABORATOIRE PROPOS'NATUREE","Type: item_weight | OCR: PROPOS
NATURE
INGREDIENT MENAGER
MULTI-USAGE
TERREDE
SOMMIERES
100%NATUREL
Argile 100% pure et naturelle, la terre de
Sommieres presente des proprietes absorbantes
qui permettent le nettoyage a sec des taches
recalcitrantes sur toutes les surfaces (moquette,
tapis, parquet...). Elle est aussi efficace pour
desodoriser le linge.
IngredientBentonite
Dosage conseillSelon usage
100%
500g
LABORATOIRE PROPOS'NATUREE | Extracted Measurement: 500 g"
https://m.media-amazon.com/images/I/71gSRbyXmoL.jpg,916768,item_volume,1.0 cup,"TEARRIFIC
LEBENSMITTELECHT
Cup
HDAY
GEPRAGTES
DESIGN
AS YOULIKE
BEST
Designed in
colke
OR
Berlin
OR
cold
LIZENZIERTE UND GESCHUTZTE DESIGNS","Type: item_volume | OCR: TEARRIFIC
LEBENSMITTELECHT
Cup
HDAY
GEPRAGTES
DESIGN
AS YOULIKE
BEST
Designed in
colke
OR
Berlin
OR
cold
LIZENZIERTE UND GESCHUTZTE DESIGNS | Extracted Measurement: "
https://m.media-amazon.com/images/I/61BZ4zrjZXL.jpg,459516,item_weight,0.709 gram,"COMPOSITION
Serving Size:1 Tablet 0.709 g)Each serving contains (Approx.Values)
Ingredient
Qty./Serving
%RDA""
*PHOSPHOcomplexSilybin (Sillybum marianum)
200 mg
**
Dandelion Taraxacum officinale) leaf extract-101
100 mg
**
Kutki Picrorhiza kurroa)rhizome extract-0.5%Bitters
50 mg
**
Kasani Cichorium intybus seed extract-1%Bitters
25 mg
**
Punarnava Boerhavia diffusa root extract-0.07%alkaloids
25 mg
**
Bhui amla Phyllanthus amarusWP extract-0.5%Bitters
25 mg
Amla (Phyllanthus emblica) fruit extract-10%Tannins
25 mg
Licorice (Glycyrrhiza glabra) root extract- 5%Glycyrrhizin
25 mg
Vitamin E
10 mg
100
Piper nigrum fruit extract- 95%Piperine
5 mg
**
NUTRITIONAL INFORMATION PER SERVING (APPROX.VALUES)
Nutrients
Qty./Serving
%RDA#
Energy
3.04kcal
0.13
Carbohydrate
0.51 g
**
(Sugars)
0.2 g
**
Protein
0.04 g
0.07
Fat
6600
**
%RDA values established as per ICMR 2010 for sedentary lifestyle-Men
**% RDA not established by ICMR","Type: item_weight | OCR: COMPOSITION
Serving Size:1 Tablet 0.709 g)Each serving contains (Approx.Values)
Ingredient
Qty./Serving
%RDA""
*PHOSPHOcomplexSilybin (Sillybum marianum)
200 mg
**
Dandelion Taraxacum officinale) leaf extract-101
100 mg
**
Kutki Picrorhiza kurroa)rhizome extract-0.5%Bitters
50 mg
**
Kasani Cichorium intybus seed extract-1%Bitters
25 mg
**
Punarnava Boerhavia diffusa root extract-0.07%alkaloids
25 mg
**
Bhui amla Phyllanthus amarusWP extract-0.5%Bitters
25 mg
Amla (Phyllanthus emblica) fruit extract-10%Tannins
25 mg
Licorice (Glycyrrhiza glabra) root extract- 5%Glycyrrhizin
25 mg
Vitamin E
10 mg
100
Piper nigrum fruit extract- 95%Piperine
5 mg
**
NUTRITIONAL INFORMATION PER SERVING (APPROX.VALUES)
Nutrients
Qty./Serving
%RDA#
Energy
3.04kcal
0.13
Carbohydrate
0.51 g
**
(Sugars)
0.2 g
**
Protein
0.04 g
0.07
Fat
6600
**
%RDA values established as per ICMR 2010 for sedentary lifestyle-Men
**% RDA not established by ICMR | Extracted Measurement: 1 t"
https://m.media-amazon.com/images/I/612mrlqiI4L.jpg,459516,item_weight,0.709 gram,"ZRDA'
:
11180
ZRDA
Qty./Serving
EEEE
Qty./Serving
600
6600
Serving Size:1 Tablet (0.709 gEach serving contains (Approx.Values)
1. 1h11. 1h11h1
o
5
Punarnava Boerhavia diffusa root extract-0.07z alkaloids
Bhui amla (Phyllanthus amarus) WP extract-0.5% Bitters
Kutki (Picrorhiza kurroa rhizome extract-0.5% Bitters
Dandelion Taraxacum officinale leaf extract-10:1
Kasani Cichorium endivia seed extract-1% Bitters
Amla (Phyllanthus emblica) fruit extract-10% Tannins
PHOSPHOcomplexSilybin (Silybum marianum)
Piper nigrum fruit extract-95%Piperine
a medical condition.
Ingredientd
Vitamin E
Carbohydrate
(sugging)
Enrey
Protein","Type: item_weight | OCR: ZRDA'
:
11180
ZRDA
Qty./Serving
EEEE
Qty./Serving
600
6600
Serving Size:1 Tablet (0.709 gEach serving contains (Approx.Values)
1. 1h11. 1h11h1
o
5
Punarnava Boerhavia diffusa root extract-0.07z alkaloids
Bhui amla (Phyllanthus amarus) WP extract-0.5% Bitters
Kutki (Picrorhiza kurroa rhizome extract-0.5% Bitters
Dandelion Taraxacum officinale leaf extract-10:1
Kasani Cichorium endivia seed extract-1% Bitters
Amla (Phyllanthus emblica) fruit extract-10% Tannins
PHOSPHOcomplexSilybin (Silybum marianum)
Piper nigrum fruit extract-95%Piperine
a medical condition.
Ingredientd
Vitamin E
Carbohydrate
(sugging)
Enrey
Protein | Extracted Measurement: 1 t"
https://m.media-amazon.com/images/I/617Tl40LOXL.jpg,731432,item_weight,1400 milligram,"Horbaach
HIGHSTRENGTH
PSYLLIOM
HUSK
1400
PLANTAGO OVATA
MG
PLANT SEEDS
FOOD
365
VEGAN
SUPPLEMENT
CAPSULES","Type: item_weight | OCR: Horbaach
HIGHSTRENGTH
PSYLLIOM
HUSK
1400
PLANTAGO OVATA
MG
PLANT SEEDS
FOOD
365
VEGAN
SUPPLEMENT
CAPSULES | Extracted Measurement: "
https://m.media-amazon.com/images/I/61QsBSE7jgL.jpg,731432,item_weight,1400 milligram,"Horbaach
HIGHSTRENGTH
Naturally-Sourced Psyllium
PSYLLIOM
HUSK
High strength 1400mg
per serving
1400MG
PLANTAGO OVATA
PLANT SEEDS
Suitable for Vegans & Vegetarians
FOOD
SUPPLEMENT
365
VEGAN
CAPSULES
Horbaach","Type: item_weight | OCR: Horbaach
HIGHSTRENGTH
Naturally-Sourced Psyllium
PSYLLIOM
HUSK
High strength 1400mg
per serving
1400MG
PLANTAGO OVATA
PLANT SEEDS
Suitable for Vegans & Vegetarians
FOOD
SUPPLEMENT
365
VEGAN
CAPSULES
Horbaach | Extracted Measurement: 1400 mg"
https://m.media-amazon.com/images/I/81xsq6vf2qL.jpg,731432,item_weight,1400 milligram,"Horbaach
Directions: For adults, take two (2) vegan capsules
daily, preferably with a meal. Do not exceed stated dose
Nutrition Information
Typically Per Daily Dose
HIGHSTRENGTH
1400mg
Psyllium Husk Powder
PSYLLIOM
Ingredients: Psyllium Husk Powder, Capsule Shell (Hy-
 droxypropylmethylcellulose), Anti-Caking Agents (Mag-
nesium Salts of Fatty Acids, Silicon Dioxide).
HUSK
May contain Sesame Seeds & Mustard. For allergens,
see the ingredients in bold.
Notice: Take this product with 220ml of fluids. Taking
this product without adequate fluid may cause the pos-
1400MG
sibility of choking. Do not use this product if you have
PLANTAGO OVATA
difficulty swallowing. If you experience chest pain, vom-
PLANT SEEDS
iting or difficulty in swallowing or breathing after taking
this product, seek immediate medical attention. Do not
take before sleeping. Fibre products can affect the ab-
sorption of many medications. Do not take this product
within 1.5 hours of taking medication.
Free From: Artificial Colour, Artificial Flavour, Artificial
Sweetener, Preservatives.
FOOD
365
VEGAN
SUPPLEMENT
CAPSULES
SUITABLE FOR VEGETARIANS & VEGANS
HU16790 C
Horbaach.","Type: item_weight | OCR: Horbaach
Directions: For adults, take two (2) vegan capsules
daily, preferably with a meal. Do not exceed stated dose
Nutrition Information
Typically Per Daily Dose
HIGHSTRENGTH
1400mg
Psyllium Husk Powder
PSYLLIOM
Ingredients: Psyllium Husk Powder, Capsule Shell (Hy-
 droxypropylmethylcellulose), Anti-Caking Agents (Mag-
nesium Salts of Fatty Acids, Silicon Dioxide).
HUSK
May contain Sesame Seeds & Mustard. For allergens,
see the ingredients in bold.
Notice: Take this product with 220ml of fluids. Taking
this product without adequate fluid may cause the pos-
1400MG
sibility of choking. Do not use this product if you have
PLANTAGO OVATA
difficulty swallowing. If you experience chest pain, vom-
PLANT SEEDS
iting or difficulty in swallowing or breathing after taking
this product, seek immediate medical attention. Do not
take before sleeping. Fibre products can affect the ab-
sorption of many medications. Do not take this product
within 1.5 hours of taking medication.
Free From: Artificial Colour, Artificial Flavour, Artificial
Sweetener, Preservatives.
FOOD
365
VEGAN
SUPPLEMENT
CAPSULES
SUITABLE FOR VEGETARIANS & VEGANS
HU16790 C
Horbaach. | Extracted Measurement: 1400 mg"
https://m.media-amazon.com/images/I/71DiLRHeZdL.jpg,731432,item_weight,1400 milligram,"VEGAN
Horbaach
WHEAT
FREE
HIGHSTRENGTH
000
PSYLLIOM
SOY
HUSK
FREE
PLANTAGO OVATA
1400MG
PLANT SEEDS
DAIRY
VEGAN
FREE
365
CAPSULES
FOOD
SUPPLEMENT
FREEFROM
PRESERVATIVES
Horbaach","Type: item_weight | OCR: VEGAN
Horbaach
WHEAT
FREE
HIGHSTRENGTH
000
PSYLLIOM
SOY
HUSK
FREE
PLANTAGO OVATA
1400MG
PLANT SEEDS
DAIRY
VEGAN
FREE
365
CAPSULES
FOOD
SUPPLEMENT
FREEFROM
PRESERVATIVES
Horbaach | Extracted Measurement: 1400 mg"
https://m.media-amazon.com/images/I/91Cma3RzseL.jpg,731432,item_weight,1400 milligram,"Horbaach
100%
HIGHEST
QUALITY
Horbaach
TO
GMP
HIGHSTRENGTH
PSYLLIUM
GMP
HUSK
UK
PLANTAGO OVATA
1400MG
PLANT SEEDS
VEGAN
365
CAPSULES
FOOD
SUPPLEMENT
Horbaach","Type: item_weight | OCR: Horbaach
100%
HIGHEST
QUALITY
Horbaach
TO
GMP
HIGHSTRENGTH
PSYLLIUM
GMP
HUSK
UK
PLANTAGO OVATA
1400MG
PLANT SEEDS
VEGAN
365
CAPSULES
FOOD
SUPPLEMENT
Horbaach | Extracted Measurement: 1400 mg"
https://m.media-amazon.com/images/I/71jBLhmTNlL.jpg,731432,item_weight,1400 milligram,"NEWOOK
SAME TRUSTED OUALITY
OLD
NEW
Horbaach
Horbaach
HIGHSTRENGTH
PSYLLIOM
HIGHSTRENGTH
HUSK
PSYLLIOM
HUSK
1400MG
be
serving
1400MG
PLANTAGO OVATA
PLANT SEEDS
FOOD
365
VEGAN
SUPPLEMENT
CAPSULES
FOOD
365
VEGAN
SUPPLEMENT
CAPSULES
Horbaach
PACKAGING MAYVARY","Type: item_weight | OCR: NEWOOK
SAME TRUSTED OUALITY
OLD
NEW
Horbaach
Horbaach
HIGHSTRENGTH
PSYLLIOM
HIGHSTRENGTH
HUSK
PSYLLIOM
HUSK
1400MG
be
serving
1400MG
PLANTAGO OVATA
PLANT SEEDS
FOOD
365
VEGAN
SUPPLEMENT
CAPSULES
FOOD
365
VEGAN
SUPPLEMENT
CAPSULES
Horbaach
PACKAGING MAYVARY | Extracted Measurement: 1400 mg"
